,Start:,03/21/19,End:,06/06/19,,Start:,12/21/18,End:,03/20/19,,Start:,09/21/18,End:,12/20/18,,Start:,06/21/18,End:,09/20/18,,Start:,03/21/18,End:,06/20/18,,Start:,12/21/17,End:,03/20/18,,Start:,09/21/17,End:,12/20/17,,Start:,06/21/17,End:,09/20/17,,Start,03/21/17,End:,06/20/17,,Start:,12/21/16,End:,03/20/17,
Level:,Emerging,Progressing,Proficient,Exemplary,Life-Long,Emerging,Progressing,Proficient,Exemplary,Life-Long,Emerging,Progressing,Proficient,Exemplary,Life-Long ,Emerging,Progressing,Proficient,Exemplary,Life-Long,Emerging,Progressing,Proficient,Exemplary,Life-Long,Emerging,Progressing,Proficient,Exemplary,Life-Long,Emerging,Progressing,Proficient,Exemplary,Life-Long,Emerging,Progressing,Proficient,Exemplary,Life-Long,Emerging,Progressing,Proficient,Exemplary,Life-Long,Emerging,Progressing,Proficient,Exemplary,Life-Long
Community,0,0,0,9,11,0,0,0,3,3,0,0,0,0,6,0,0,0,4,2,0,0,2,24,4,0,0,1,1,2,0,0,0,10,0,0,0,5,6,0,0,0,7,8,0,0,0,8,1,1
Ownership,0,0,2,9,17,0,0,0,8,11,0,0,1,2,7,0,0,0,3,3,0,0,18,56,11,0,0,3,11,7,0,0,6,4,2,0,0,3,18,2,0,4,13,2,0,1,2,10,9,0
Self-Direction,0,0,3,23,26,0,0,0,14,26,0,0,2,3,7,0,0,2,20,7,0,0,23,39,23,0,0,3,31,5,0,0,15,10,4,0,0,1,39,0,0,3,12,2,0,1,3,16,13,0
Technology,0,0,0,8,20,0,0,0,3,10,0,0,2,4,4,0,0,1,7,5,0,0,8,32,6,0,0,1,19,2,0,0,6,4,2,0,0,4,14,4,0,0,5,2,0,0,0,6,8,0
Collaboration,0,0,0,2,5,0,0,0,0,4,0,0,1,1,2,0,0,0,5,1,0,0,7,14,3,0,0,2,0,3,0,0,0,5,0,0,0,2,5,0,0,0,11,2,0,0,0,13,5,1
Decision Making,0,0,0,4,12,0,0,0,2,8,0,0,1,0,2,0,0,2,7,1,0,0,9,21,4,0,0,2,6,1,0,0,3,9,0,0,0,1,13,0,0,1,3,0,0,0,0,5,0,0
Management,0,0,1,4,16,0,0,0,7,16,0,0,1,2,10,0,0,3,15,9,0,0,7,41,7,0,0,7,16,4,0,0,5,6,2,0,0,9,19,0,0,5,5,1,0,0,1,12,2,0
Quality Work,0,0,1,9,12,0,0,0,5,6,0,0,1,0,2,0,0,3,9,2,0,0,8,18,21,0,0,3,9,1,0,0,4,5,2,0,0,0,20,0,0,0,10,0,0,0,0,9,2,1
Character,0,0,0,9,11,0,0,0,0,8,0,0,2,1,5,0,0,0,7,4,0,0,16,24,4,0,0,2,2,1,0,0,0,11,0,0,0,0,14,0,0,0,9,7,1,0,0,7,7,1
Communication,0,0,2,15,13,0,0,0,7,3,0,0,1,4,4,0,0,0,6,2,0,0,0,14,8,0,0,2,14,3,0,0,9,2,0,0,0,2,19,0,0,0,13,4,0,0,0,14,6,0
Creative Thinking,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,2,0,0,3,7,3,0,0,0,0,0,0,0,4,12,0,0,0,13,0,0,0,0,7,7,1
Critical Thinking,0,0,0,1,14,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,4,21,3,0,0,3,0,1,0,0,0,2,0,0,0,5,11,0,0,1,7,0,0,0,0,2,3,0
Curiosity and Wonder,0,0,0,10,11,0,0,0,1,9,0,0,0,1,1,0,0,0,1,0,0,0,3,41,7,0,0,3,5,1,0,0,1,1,0,0,0,3,12,0,0,0,12,0,0,0,0,8,3,1
Information,0,0,0,8,6,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,5,23,1,0,0,6,4,0,0,0,1,2,0,0,0,0,1,0,0,0,4,1,0,0,0,9,4,0
Leadership,0,0,0,3,13,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,16,12,3,0,0,1,0,0,0,0,0,6,0,0,0,8,7,0,0,0,5,2,0,0,0,3,4,0
Organization,0,0,2,2,6,0,0,0,0,0,0,0,1,0,3,0,0,0,3,2,0,0,4,11,7,0,0,3,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,4,0,0
Problem Solving,0,0,0,2,11,0,0,0,4,11,0,0,0,0,4,0,0,1,3,3,0,0,0,7,8,0,0,8,5,0,0,0,0,0,0,0,0,10,8,0,0,2,11,0,0,0,0,3,2,0
Understanding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
